Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
25363,6313,"WR LE MAIN 2E","DE","LAW MAIN 2E","Law Dispatch","Wright County"
25364,6314,"WR LAW ALL","DE","County Law 6","Law Dispatch","Wright County"
25365,6315,"WR ROAM","D","County Roam","Multi-Dispatch","Wright County"
25366,6316,"ANNDL PD","D","Annandale Police","Law Tac","Wright County"
25367,6317,"HOW LK PD","D","Howard Lake Police","Law Tac","Wright County"
25368,6318,"BUFF PD","DE","Buffalo Police","Law Tac","Wright County"
25369,6319,"WR ERT","DE","County ERT","Law Tac","Wright County"
25370,631a,"WR SIU 1","DE","County SIU 1","Law Tac","Wright County"
25371,631b,"WR SIU 2","DE","County SIU 2","Law Tac","Wright County"
25372,631c,"WR COMMAND","DE","County Command","Law Tac","Wright County"
25373,631d,"WR PW 1","D","County PW 1","Public Works","Wright County"
25374,631e,"WR PW 2","D","County PW 2","Public Works","Wright County"
25375,631f,"WR PW 3","D","County PW 3","Public Works","Wright County"
25376,6320,"WR PW 4","D","County PW 4","Public Works","Wright County"
25377,6321,"WR PW ALL","D","County PW All","Public Works","Wright County"
25378,6322,"ROKFRD PW","D","Rockford Public Works","Public Works","Wright County"
25379,6323,"COKATO PW","D","Cokato Public Works","Public Works","Wright County"
25380,6324,"WR EMERG","D","County Emergency","Multi-Dispatch","Wright County"
25381,6325,"BUFF COM","D","Buffalo All","Multi-Talk","Wright County"
25382,6326,"ANNDL COMM","D","Annandale All Common","Multi-Talk","Wright County"
25383,6327,"EMH BF","D","Buffalo Hospital	Allina Health Hospital - Buffalo","Hospital","Central Minnesota EMS Hailing "
25384,6328,"HOW LK COMM","D","Howard Lake All Common","Multi-Talk","Wright County"
25385,6329,"WR COURTS","D","County Courts","Security","Wright County"
25386,632a,"ALBRT PW","D","Albertville PW","Public Works","Wright County"
25387,632b,"WR JAIL","DE","Wright Co Jail","Corrections","Wright County"
25388,632c,"BUFF PW","D","Buffalo PW","Public Works","Wright County"
25389,632d,"CLRW PW","D","Clearwater PW","Public Works","Wright County"
25390,632e,"DELANO  PW","D","Delano PW","Public Works","Wright County"
25391,632f,"HANOVR  PW","D","Hanover PW","Public Works","Wright County"
25392,6330,"HOW LK PW","D","Howard Lake PW","Public Works","Wright County"
25393,6331,"MPL LK PW","D","Maple Lake PW","Public Works","Wright County"
25394,6332,"MTCLO PW","D","Monticello PW","Public Works","Wright County"
25395,6333,"MNTRSE PW","D","Montrose PW","Public Works","Wright County"
25396,6334,"S HAVEN PW","D","South Haven PW","Public Works","Wright County"
25397,6335,"ST MCHL PW","D","St Michael PW","Public Works","Wright County"
25398,6336,"WAVRLY PW","D","Waverly PW","Public Works","Wright County"
25400,6338,"EMSCC ROAM","D","Centra Care EMS Roam","EMS Dispatch","CentraCare EMS"
25402,633a,"EMSCC Med Ctrl","D","CentraCare EMS Medical Control","EMS-Talk","CentraCare EMS"
25403,633b,"EMSCC WILLMAR","D","Centra Care EMS Dispatch - Willmar","EMS Dispatch","CentraCare EMS"
25404,633c,"EMSCC LP","D","Centra Care EMS Dispatch- Long Prairie","EMS Dispatch","CentraCare EMS"
